answer	qid
 in a lair	fables-06-1
 The Mouse	fables-06-2
 the idea of so insignificant a creature ever being able to do anything for him	fables-06-3
 One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.	fables-06-4
 the Lion the Mouse	fables-06-5
because a mouse ran into the face of the lion .	fables-06-6
 A trapper	fables-06-7
 The lion	fables-06-8
 gnawing the rope of the net with the tooth of the mouse	fables-06-9
 by hurricane gustav	blogs-03-1
 the storm	blogs-03-2
 winds	blogs-03-3
 President Bush	blogs-03-4
 in Louisiana	blogs-03-5
 to a store named Home Depot in	blogs-03-6
 a large group of pine trees and had a group of oak trees	blogs-03-7
because it owned a group of trees and near the house of the narrator .	blogs-03-8
 to the house of the parent of the narrator	blogs-03-9
An         .	blogs-06-1
 a group of treats and created some fire	blogs-06-2
 The husband	blogs-06-3
 the door of the oven in order to prevent the fire spreading	blogs-06-4
A couple of weeks go we       oven/rnge.	blogs-06-5
 the oven	blogs-06-6
 and got a fire extinguisher	blogs-06-7
Luckily the fire extinguisher worked but our stove  .	blogs-06-8
 a plug-in burner griddle and counter top oven	blogs-06-9
 on a branch of a tree with a piece of cheese in her beak	fables-01-1
A Crow was sittg on a branch of a tree with a piece of cheese    when a Fox observed  and set his wits to work to discover some way of gettg  cheese.	fables-01-2
 A Crow a Fox	fables-01-3
A  observed  crow and tried  discover how  get  . The  snatched  , said that  crow was able  sing and   said that  crow needed wits.	fables-01-4
 under the tree	fables-01-5
The  felt that  fox had flattered her and cawed loudly in order for she to show him that she was able to sing.	fables-01-6
 The crow the fox	fables-01-7
 a fat Bull in a meadow	fables-02-1
 The Bull his horns an easy prey	fables-02-2
 in a meadow	fables-02-3
 The bull	fables-02-4
 A lion A lion the lion the lion	fables-02-5
 that the lion was friendly	fables-02-6
 A Lion his mouth	fables-02-7
 The Bull his horns an easy prey	fables-02-8
 to eat the bull	fables-02-9
because the lion feared sharp every horn of the bull .	fables-02-10
 sharp every horn of the bull	fables-02-11
A  meeting named   ed on eventful today.	blogs-01-1
A    G20  started on eventful today.	blogs-01-2
 at first it	blogs-01-3
 a police car and threw a thing at a police	blogs-01-4
 The people	blogs-01-5
 The people	blogs-01-6
The people burned   cr nd threw  thing t  .	blogs-01-7
 The people	blogs-01-8
 police cars were	blogs-01-9
Police  were burned and things were thrown at cops.	blogs-01-10
 as things got worse tear gas and bean bag bullets were	blogs-01-11
 as things got worse tear gas and bean bag bullets were	blogs-01-12
 as things got worse tear gas and bean bag bullets were fired at the rioters while they	blogs-01-13
 A Fox the only fare	fables-04-1
A Fox invited a Stork to dinner, at which      a large flat dish of soup.	fables-04-2
 in a flat and large dish	fables-04-3
 A clever fox	fables-04-4
The  only served some  in a flat and large dish. The  lapped   with relish.	fables-04-5
because he was n't able to reach some food that was in the pitcher .	fables-04-6
 the long bill of the stork into the long and narrow neck of the pitcher	fables-04-7
for it was impossible for him to reach the tempting contents of the vessel	fables-04-8
The   a teacher, owned some white slip and owned a desk. The   teaching  group of students language. The  checked  group of students for presence and stood at  front of a classroom. The  noticed that  ankle of    observed. The  nervously looked toward  ankle of   and observed that  slip had fallen because  elastic of  slip  dysfunctional. The  glanced around  group of students. The  carefully stepped over  slip. The  feigned bewilderment. The  lifted  slip and inserted it into a bottom drawer of  desk. The  resumed teaching, and  group of students didn't react. The  later feared for  group of students to tell a parent of  group of students that  group of students had seen that  slip had fallen because  elastic of  slip  dysfunctional.	blogs-05-1
 the group of students for presence and stood at the front of a classroom	blogs-05-2
 The narrator the narrator	blogs-05-3
 teaching and the group of students did n't react	blogs-05-4
 The narrator	blogs-05-5
The  ed  slip and inserted it into a bottom drawer of  desk.	blogs-05-6
Nervously I               .	blogs-05-7
 with you one of my most embarassing moments as a teacher to date	blogs-05-8
 down to see that my underslip had somehow made its way to the floor	blogs-05-9
A      a Fox, which came prowling about his yard at night and carried off his fowls.	fables-05-1
 As ill-luck would have it, however, the Fox made straight for the fields where the corn was standing ripe and ready for cutting.	fables-05-2
 the Farmer	fables-05-3
 The agriculturist a The agriculturist	fables-05-4
 in order	fables-05-5
 The agriculturist	fables-05-6
 the corn	fables-05-7
 The agriculturist	fables-05-8
 the place where he	blogs-02-1
 A few years ago, a young man died out on my front lawn when he crashed his motorbike.	blogs-02-2
Later, wn I was visiting     , I decided to talk to him as if  were still re because I wanted him to know how bad I felt that I couldnt lp him.	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him .	blogs-02-4
 The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep.	blogs-02-5
And I know this sounds crazy, but I saw this ball of light in  trees above me.	blogs-02-6
 my logical mind	blogs-02-7
 A young man the young man the young man	blogs-02-8
 The narrator the young man the young man the young man	blogs-02-9
 a young man	blogs-02-10
 to wonder that the flash was an orb	blogs-02-11
 the narrator saw some bright flash in a	blogs-02-12
 The squirrel	blogs-04-1
 The squirrel The squirrel the squirrel the squirrel the squirrel the squirrel	blogs-04-2
 the squirrel 's paw	blogs-04-3
 themselves in the bowl	blogs-04-4
Squirrels  come     .	blogs-04-5
But not quite, I       !	blogs-04-6
 i had a digital camera	blogs-04-7
 many birds	blogs-04-8
 on the railing	blogs-04-9
 An Eagle	fables-03-1
 An Eagle	fables-03-2
 it in his talons with the intention of carrying it off and devouring it	fables-03-3
 A countryman	fables-03-4
In revenge   spat some of his poison into  man's drinking-horn.	fables-03-5
 In revenge the Serpent spat some of his poison into the man's drinking-horn.	fables-03-6
 to sip from the drinking vessel	fables-03-7
 The eagle	fables-03-8
The  ed  drinking vessel.	fables-03-9
 from the horn	fables-03-10
Heated with his exertions, the man  about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground.	fables-03-11
In    spat some of his poison to  man's drkg-horn.	fables-03-12
 in a beautiful pond	mc500.train.25.0
Will stopped  and went outside.	mc500.train.111.0
When  the store,  had a good   a very silly looking dog.	mc500.train.111.1
to visit some friends	mc500.train.0.1
 a salad	mc500.train.0.2
Kristin  .	mc500.train.0.3
 at Ellen	mc500.train.0.4
 was  to spend time with her friends again.	mc500.train.0.5
because they were tired .	mc500.train.0.6
The girls   and caught up on their lives.	mc500.train.0.7
But she wanted some time  herself at  , so she  re first.	mc500.train.0.8
Alyssa enjoyed   .	mc500.train.0.9
 soup after eating the ladies went back to ellen 's house to	mc500.train.0.10
 to a restaurant	mc500.train.0.11
 at Ellen	mc500.train.0.12
It  Saturday afternoon and   .	mc500.train.23.1
 watching tv all day	mc500.train.23.2
 outside the window	mc500.train.23.3
 looked outside  window and saw  newspaper   .	mc500.train.23.4
 On the front	mc500.train.23.5
He     all day.	mc500.train.23.6
 the story	mc500.train.23.7
 in town	mc500.train.23.8
yes	mc500.train.23.9
"""Yes, we can,' 's dad said, 'but first you need to  your ."""	mc500.train.23.10
 The people and animals	mc500.train.23.11
    read the story.     went to the circus.     ate lots of peanuts.     had a lot of fun at the circus.	mc500.train.23.12
 at the circus	mc500.train.23.13
 to the circus	mc500.train.23.14
The elephant even   a !	mc500.train.23.15
 Kelly woke up one morning and went outside to her back yard. After Kelly collected all of the flowers, she went inside and tied them together with string.	mc500.train.18.1
 woke  one morning and went outside to her back yard. Finally, her mother woke  at 8:30 AM, and  was excited!	mc500.train.18.2
   one morning and went outside to her back yard.	mc500.train.18.3
She was going to give her mom the gest, most  bunch of flowers her mother had ever seen.	mc500.train.18.4
 she	mc500.train.18.5
 all of the flowers she went inside and tied them together with string	mc500.train.18.6
 She knew where the best flowers were in her yard.	mc500.train.18.7
 in a new spot	mc500.train.18.8
 gave  mot the flowers.	mc500.train.18.10
Finally,  mot   at 8:30 AM, and  was excited!	mc500.train.18.11
 woke up one morng nd went outside to her bck yrd. After  collected ll of the flowers, she went side nd tied them together with strg.  gve her mother the flowers.	mc500.train.18.12
 big the orange ones were small and the green ones were in the middle	mc500.train.18.13
 them in a new spot that was up higher	mc500.train.18.14
She  in a hurry because it  Mother Day and she had to collect s before her mom woke up to give to her as a present. Her    the red one.	mc500.train.18.15
 she was in a hurry because it was mother 's day and she had to collect flowers before her mom up at 8:30 am and kelly was excited	mc500.train.18.16
 The lion the mouse	fables-06-16
 The mouse the mouse	fables-06-17
and seized the mouse with the paw of the lion	fables-06-18
 The lion	fables-06-19
 a trapper	fables-06-20
 The mouse The mouse the lion the mouse the mouse the mouse the mouse	fables-06-25
The  began to be extremely frightened and piteously entreated  lion to spare it. The  said that -- if  lion were to free   --   would repay kindness. The  heard that  lion was roaring with anger. The  recognized  voice of  lion. The  ran to  lion. The  immediately began gnawing  rope of  net with  tooth of  . The  soon succeeded in freeing  lion. The  said that  lion had aloud laughed because he thought that   is extremely not able to help him. The  said that  lion was seeing that   is able to help him.	fables-06-26
The  lost temper and seized  mouse      .	fables-06-27
because a mouse ran into the face of the lion .	fables-06-28
 the narrator	blogs-03-16
Once, storm was occurrg  .	blogs-03-17
 The narrator	blogs-03-18
 in Louisiana	blogs-03-19
 The narrator	blogs-03-20
The oven scorched a group of treats and created  .	blogs-06-16
 The husband	blogs-06-17
 the oven began to be	blogs-06-18
The      shut  door   oven in order to prevent  fire spreading.	blogs-06-21
The  retrieved a fire extinguisher. The  ordered a new second oven. The  began to be excited because she had ordered  second oven.	blogs-06-22
 A fox	fables-01-14
 A fox	fables-01-15
 The fox The fox the crow the crow the fox the fox the crow the crow	fables-01-16
 The crow	fables-01-17
 The crow the fox	fables-01-18
 The lion The lion the lion the lion	fables-02-19
because the lion wanted to eat the bull .	fables-02-20
A  watched  bull and salivated because   wanted to eat  bull.	fables-02-21
A  watched  bull and salivated because   wanted to eat  bull. The  n't attack  bull because   feared sharp every horn of  bull. The  began to be hungry and decided to attempt to kill  bull. The  planned to trick  bull because   wasn't able to fight  bull. The  walked toward  bull and began to feign that   was friendly. The  said to  bull that   admired  body of  bull, admired  head of  bull, he admired every shoulder of  bull and admired every thigh of  bull. The  advised  bull to remove every horn of  bull because every horn of  bull was ugly. The  succeeded in persuading  bull to remove every horn of  bull. The  ate  bull, and  bull began to be defenseless.	fables-02-22
 The lion	fables-02-23
 The police the people the people the people	blogs-01-19
 The people	blogs-01-20
 The police the people the people the people	blogs-01-21
 A summit meeting	blogs-01-22
A summit meeting named G20 summit started on eventful today.	blogs-01-23
 The police the people the people the people	blogs-01-24
 The stork	fables-04-14
 The stork	fables-04-15
 the fox only	fables-04-16
 The stork	fables-04-17
 The narrator the narrator	blogs-05-16
The  was a teacher, owned some white slip and owned a desk. The  was teaching  group of students language. The  checked  group of students for presence and stood at  front of a classroom. The  noticed that  ankle of   was observed. The  nervously looked toward  ankle of   and observed that  slip had fallen because  elastic of  slip was dysfunctional. The  glanced around  group of students. The  carefully stepped over  slip. The  feigned bewilderment. The  lifted  slip and inserted it into a bottom drawer of  desk. The  resumed teaching, and  group of students n't react. The  later feared for  group of students to tell a parent of  group of students that  group of students had seen that  slip had fallen because  elastic of  slip was dysfunctional.	blogs-05-17
 that the slip had fallen because the elastic of the slip was dysfunctional	blogs-05-20
He    fowl.	fables-05-14
 the corn	fables-05-15
 An agriculturist	fables-05-16
 back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-17
 A young man the young man the young man	blogs-02-18
 The narrator the narrator the narrator	blogs-02-19
The  stayed with  young man and n't aid him because  young man had broken  neck of  young man. The  later went back to  spot of  yard of   and decided to talk to  young man because it wanted  young man to know   regretting that it had not aided him. The  saw some bright flash in a group of trees that was above  . The  thought for  bror of   to use  flashlight of  bror of  . The  entered  house of   and heard that  asleep family of   was asleep. The  began to wonder that  flash was an orb	blogs-02-20
 The birds drank the bowl's water.	blogs-04-15
 An eagle	fables-03-22
 The eagle the serpent the serpent	fables-03-23
An eagle swooped  a serpent and seized it in order for he to devour it.	fables-03-24
 An eagle	fables-03-25
 A countryman	fables-03-26
 in the drinking vessel	fables-03-27
 any rocks and maxine and thomas could swim together and take lots of baths	mc500.train.25.2
 Maxine and Thomas something mean	mc500.train.25.3
yes	mc500.train.0.18
 alyssa	mc500.train.0.19
"Andrew's dad said, ""I think   is here."	mc500.train.23.23
to bring home to the goldfish	mc500.train.23.24
 them together with string	mc500.train.18.22
 in diapers	mc500.train.18.23
 a lion asleep in his lair was	fables-06-10
in order to catch a big game	fables-06-11
 The mouse	fables-06-12
 the voice of the lion	fables-06-13
 one day the lion got entangled in a net which had been spread for game by some hunters and the mouse heard and	fables-06-14
 the ropes with its teeth and succeeded before long in setting the lion free	fables-06-15
 the lion lost temper and	fables-06-21
 the lion lost temper and	fables-06-22
 to work to gnaw the ropes with its teeth and succeeded before long in setting the lion free	fables-06-23
 the ropes with its teeth and succeeded before long in setting the lion free	fables-06-24
 The narrator	blogs-03-10
 An area	blogs-03-11
The tree split prt nd       .	blogs-03-12
 The narrator	blogs-03-13
